Geneid	expr	quartile
FAM76A	468	2
STX12	2502	4
PPP1R8	2257	4
SCARNA1	0	0
THEMIS2	936	3
RPA2	2204	4
SMPDL3B	0	0
XKR8	54	2
EYA3	1128	3
PTAFR	14	1
DNAJC8	4922	4
ATPIF1	2403	4
SESN2	438	2
MED18	637	3
PHACTR4	2000	3
SNHG3	948	3
RCC1	3521	4
SNORA73A	71	2
SNORA73B	50	2
TRNAU1AP	726	3
SNHG12	481	2
SNORD99	19	1
SNORA61	95	2
SNORA44	15	1
SNORA16A	59	2
RAB42	50	2
TAF12	746	3
RNU11	0	0
GMEB1	508	2
YTHDF2	2867	4
OPRD1	0	0
EPB41	252	2
TMEM200B	1276	3
SRSF4	4284	4
MECR	639	3
PTPRU	281	2
LOC101928460	0	0
LOC101929406	0	0
MATN1	3	1
MATN1-AS1	32	1
LAPTM5	18	1
MIR4420	0	0
SDC3	3422	4
PUM1	3060	4
SNORD103A	0	0
SNORD103B	0	0
SNORD85	0	0
NKAIN1	0	0
SNRNP40	1777	3
ZCCHC17	1737	3
FABP3	123	2
SERINC2	3634	4
LINC01225	0	0
LINC01226	0	0
TINAGL1	0	0
HCRTR1	1	1
PEF1	2349	4
COL16A1	10738	4
ADGRB2	483	2
MIR4254	0	0
SPOCD1	3411	4
PTP4A2	11331	4
KHDRBS1	8846	4
TMEM39B	807	3
MIR5585	0	0
KPNA6	4120	4
TXLNA	5725	4
CCDC28B	194	2
IQCC	181	2
DCDC2B	33	1
TMEM234	296	2
EIF3I	7296	4
MTMR9LP	163	2
FAM167B	41	2
LCK	0	0
HDAC1	4095	4
MARCKSL1	414	2
FAM229A	14	1
TSSK3	33	1
BSDC1	1855	3
ZBTB8B	0	0
ZBTB8A	689	3
ZBTB8OS	777	3
RBBP4	2939	4
SYNC	1152	3
KIAA1522	1251	3
YARS	3774	4
S100PBP	1193	3
FNDC5	2	1
HPCA	4	1
TMEM54	1217	3
RNF19B	638	3
AK2	5085	4
AZIN2	88	2
TRIM62	358	2
ZNF362	410	2
A3GALT2	0	0
PHC2	3922	4
MIR3605	2	1
LOC101929464	0	0
ZSCAN20	286	2
CSMD2	2	1
HMGB4	0	0
CSMD2-AS1	0	0
C1orf94	0	0
MIR552	0	0
GJB5	0	0
GJB4	0	0
GJB3	4	1
GJA4	2	1
SMIM12	1260	3
DLGAP3	0	0
LOC653160	27	1
ZMYM6NB	736	3
ZMYM6	759	3
ZMYM1	758	3
SFPQ	12076	4
ZMYM4	2781	4
KIAA0319L	1354	3
NCDN	1605	3
TFAP2E	17	1
PSMB2	5274	4
C1orf216	1413	3
CLSPN	3955	4
AGO4	443	2
AGO1	883	3
AGO3	475	2
TEKT2	0	0
ADPRHL2	2256	4
COL8A2	70	2
TRAPPC3	2105	4
MAP7D1	12166	4
THRAP3	8107	4
SH3D21	81	2
EVA1B	5525	4
STK40	2699	4
LSM10	866	3
OSCP1	88	2
MRPS15	2071	4
CSF3R	0	0
GRIK3	0	0
MIR4255	0	0
LINC01137	115	2
ZC3H12A	1229	3
MIR6732	3	1
MEAF6	1334	3
MIR5581	4	1
SNIP1	830	3
DNALI1	1	1
GNL2	3457	4
RSPO1	0	0
C1orf109	780	3
CDCA8	2904	4
EPHA10	4	1
MANEAL	40	2
YRDC	842	3
C1orf122	1848	3
MTF1	1085	3
INPP5B	719	3
SF3A3	4204	4
FHL3	1181	3
UTP11L	2150	4
POU3F1	0	0
MIR3659	0	0
LINC01343	0	0
RRAGC	2362	4
MYCBP	1	1
GJA9-MYCBP	0	0
GJA9	0	0
RHBDL2	119	2
AKIRIN1	2897	4
NDUFS5	3336	4
MACF1	10220	4
KIAA0754	2139	4
BMP8A	10	1
PPIEL	2	1
PABPC4	5746	4
LOC101929516	5	1
SNORA55	6	1
HEYL	0	0
NT5C1A	0	0
HPCAL4	0	0
PPIE	1584	3
BMP8B	8	1
OXCT2	0	0
TRIT1	401	2
MYCL	1	1
MFSD2A	268	2
CAP1	27753	4
PPT1	4067	4
RLF	822	3
TMCO2	0	0
ZMPSTE24	4663	4
COL9A2	2	1
SMAP2	1461	3
ZFP69B	123	2
ZFP69	182	2
EXO5	486	2
ZNF684	178	2
RIMS3	2	1
NFYC-AS1	34	2
NFYC	1123	3
MIR30E	0	0
MIR30C1	0	0
KCNQ4	1	1
CITED4	0	0
CTPS1	5680	4
SLFNL1-AS1	36	2
SLFNL1	12	1
SCMH1	976	3
FOXO6	8	1
EDN2	0	0
HIVEP3	300	2
GUCA2B	0	0
GUCA2A	0	0
FOXJ3	1726	3
RIMKLA	0	0
ZMYND12	0	0
PPCS	916	3
CCDC30	0	0
PPIH	992	3
YBX1	37293	4
CLDN19	0	0
P3H1	5773	4
C1orf50	179	2
LOC100129924	0	0
SVBP	209	2
ERMAP	635	3
ZNF691	80	2
LOC339539	0	0
SLC2A1	4646	4
SLC2A1-AS1	14	1
FAM183A	0	0
EBNA1BP2	5937	4
MIR6733	1	1
CFAP57	13	1
TMEM125	0	0
C1orf210	0	0
TIE1	14	1
MPL	6	1
CDC20	6426	4
ELOVL1	6029	4
MIR6734	0	0
MED8	2059	4
SZT2	1687	3
MIR6735	0	0
HYI	0	0
PTPRF	7161	4
KDM4A	1265	3
KDM4A-AS1	35	2
ST3GAL3	680	3
LOC101929592	4	1
MIR6079	0	0
ARTN	25	1
IPO13	1241	3
DPH2	905	3
ATP6V0B	3653	4
B4GALT2	3969	4
CCDC24	125	2
SLC6A9	630	3
KLF17	6	1
DMAP1	675	3
ERI3	1450	3
ERI3-IT1	8	1
RNF220	1905	3
MIR5584	0	0
TMEM53	75	2
C1orf228	0	0
RNU5F-1	0	0
RNU5D-1	0	0
KIF2C	4883	4
RPS8	29942	4
SNORD55	54	2
SNORD46	1	1
SNORD38A	3	1
SNORD38B	26	1
BEST4	6	1
PLK3	686	3
TCTEX1D4	23	1
BTBD19	144	2
PTCH2	8	1
EIF2B3	1455	3
HECTD3	2205	4
UROD	3332	4
ZSWIM5	360	2
LINC01144	8	1
HPDL	8	1
MUTYH	413	2
TOE1	763	3
TESK2	39	2
CCDC163P	47	2
MMACHC	335	2
PRDX1	18342	4
AKR1A1	2071	4
NASP	5226	4
CCDC17	4	1
GPBP1L1	2110	4
RPS15AP10	8	1
TMEM69	768	3
IPP	642	3
MAST2	2646	4
PIK3R3	785	3
LOC101929626	0	0
TSPAN1	21	1
POMGNT1	3221	4
LURAP1	54	2
RAD54L	904	3
LRRC41	3718	4
UQCRH	2905	4
NSUN4	714	3
FAAH	57	2
FAAHP1	0	0
LINC01398	0	0
DMBX1	0	0
MKNK1-AS1	1	1
KNCN	0	0
MKNK1	546	2
MOB3C	525	2
ATPAF1	729	3
TEX38	0	0
EFCAB14-AS1	0	0
EFCAB14	3307	4
CYP4B1	0	0
CYP4Z2P	0	0
CYP4A11	2	1
CYP4X1	0	0
CYP4Z1	0	0
CYP4A22	0	0
LINC00853	2	1
PDZK1IP1	0	0
TAL1	0	0
STIL	2217	4
CMPK1	6503	4
LINC01389	4	1
FOXE3	0	0
FOXD2-AS1	67	2
FOXD2	63	2
TRABD2B	0	0
SKINTL	0	0
SLC5A9	0	0
SPATA6	34	2
AGBL4	0	0
BEND5	0	0
LOC101929721	0	0
AGBL4-IT1	0	0
ELAVL4	0	0
DMRTA2	0	0
FAF1	2214	4
CDKN2C	2926	4
MIR4421	0	0
MIR6500	0	0
C1orf185	0	0
RNF11	3588	4
TTC39A	4	1
TTC39A-AS1	0	0
EPS15	1822	3
OSBPL9	2243	4
NRD1	9076	4
MIR761	0	0
RAB3B	12742	4
TXNDC12	2976	4
KTI12	0	0
TXNDC12-AS1	1	1
BTF3L4	2644	4
ZFYVE9	697	3
CC2D1B	2615	4
ORC1	1345	3
PRPF38A	1123	3
ZCCHC11	1016	3
GPX7	38	2
FAM159A	0	0
COA7	943	3
ZYG11B	1568	3
ZYG11A	12	1
ECHDC2	18	1
SCP2	3473	4
MIR1273F	0	0
MIR5095	0	0
MIR1273G	2	1
PODN	420	2
SLC1A7	2	1
CPT2	398	2
C1orf123	1268	3
MAGOH	1248	3
LOC100507564	7	1
LRP8	2089	4
LOC105378732	0	0
SLC25A3P1	0	0
DMRTB1	0	0
GLIS1	234	2
NDC1	4598	4
YIPF1	764	3
DIO1	12	1
HSPB11	1356	3
LRRC42	2239	4
LDLRAD1	0	0
TMEM59	8310	4
TCEANC2	300	2
MIR4781	0	0
CDCP2	0	0
CYB5RL	337	2
MRPL37	3040	4
SSBP3	1027	3
SSBP3-AS1	22	1
ACOT11	132	2
FAM151A	1	1
MROH7	0	0
MROH7-TTC4	0	0
TTC4	20	1
PARS2	222	2
TTC22	0	0
C1orf177	0	0
DHCR24	13716	4
TMEM61	0	0
BSND	0	0
PCSK9	0	0
USP24	2864	4
LOC100507634	9	1
MIR4422	0	0
PPAP2B	938	3
PRKAA2	58	2
C1orf168	2	1
C8A	0	0
C8B	0	0
DAB1	0	0
DAB1-AS1	0	0
OMA1	282	2
TACSTD2	0	0
MYSM1	1234	3
JUN	7110	4
LINC01135	0	0
LINC01358	45	2
HSD52	6	1
FGGY	116	2
MIR4711	0	0
LOC101926944	0	0
HOOK1	0	0
CYP2J2	136	2
C1orf87	0	0
LOC101926964	0	0
NFIA-AS2	0	0
NFIA	155	2
NFIA-AS1	0	0
MGC34796	0	0
TM2D1	915	3
INADL	125	2
MIR3116-1	0	0
MIR3116-2	0	0
L1TD1	0	0
KANK4	0	0
USP1	6338	4
DOCK7	4715	4
ANGPTL3	2	1
ATG4C	416	2
LINC00466	0	0
FOXD3-AS1	2	1
FOXD3	0	0
MIR6068	0	0
ALG6	431	2
ITGB3BP	736	3
EFCAB7	184	2
DLEU2L	2	1
PGM1	1332	3
ROR1	52	2
ROR1-AS1	0	0
UBE2U	0	0
CACHD1	359	2
MIR4794	0	0
RAVER2	208	2
JAK1	6474	4
LINC01359	2	1
MIR3671	0	0
MIR101-1	0	0
AK4	0	0
DNAJC6	1831	3
LEPROT	5855	4
LEPR	441	2
PDE4B	3326	4
LOC101927139	0	0
SGIP1	821	3
MIR3117	2	1
TCTEX1D1	0	0
INSL5	0	0
WDR78	86	2
MIER1	2090	4
SLC35D1	3330	4
C1orf141	0	0
IL23R	0	0
IL12RB2	2	1
SERBP1	19890	4
GADD45A	3780	4
GNG12	12371	4
GNG12-AS1	25	1
DIRAS3	12	1
WLS	7493	4
MIR1262	0	0
RPE65	0	0
DEPDC1	2998	4
DEPDC1-AS1	6	1
LRRC7	2	1
PIN1P1	0	0
LRRC40	1560	3
SRSF11	5692	4
ANKRD13C	1505	3
HHLA3	74	2
CTH	39	2
LOC101927244	93	2
PTGER3	12	1
ZRANB2-AS1	37	2
ZRANB2	3202	4
MIR186	24	1
ZRANB2-AS2	10	1
NEGR1	930	3
NEGR1-IT1	0	0
LINC01360	0	0
LRRIQ3	32	1
FPGT-TNNI3K	0	0
FPGT	573	2
TNNI3K	0	0
ERICH3	0	0
ERICH3-AS1	0	0
CRYZ	1878	3
TYW3	1294	3
LHX8	0	0
SLC44A5	0	0
ACADM	1463	3
DLSTP1	29	1
RABGGTB	2762	4
SNORD45C	11	1
SNORD45A	25	1
SNORD45B	27	1
MSH4	0	0
ASB17	0	0
LOC101927342	0	0
ST6GALNAC3	259	2
ST6GALNAC5	60	2
MIR7156	0	0
PIGK	2774	4
AK5	1143	3
ZZZ3	2969	4
USP33	3166	4
FAM73A	1530	3
NEXN-AS1	103	2
NEXN	3533	4
FUBP1	6558	4
DNAJB4	1959	3
GIPC2	2	1
MGC27382	0	0
PTGFR	2224	4
IFI44L	9776	4
IFI44	14252	4
ADGRL4	2	1
LOC101927412	0	0
LOC101927434	0	0
ADGRL2	55	2
LINC01361	0	0
LOC101927587	0	0
LOC101927560	0	0
TTLL7	376	2
PRKACB	1913	3
SAMD13	31	1
UOX	1	1
DNASE2B	0	0
RPF1	2080	4
GNG5	4298	4
SPATA1	13	1
CTBS	1394	3
LINC01461	4	1
LINC01555	2	1
SSX2IP	2768	4
LPAR3	0	0
MCOLN2	162	2
MCOLN3	20	1
WDR63	42	2
MIR4423	0	0
SYDE2	204	2
C1orf52	859	3
BCL10	961	3
LOC646626	17	1
DDAH1	8102	4
CYR61	36466	4
ZNHIT6	1719	3
COL24A1	92	2
ODF2L	911	3
MIR7856	1	1
CLCA2	199	2
CLCA1	0	0
CLCA4	0	0
CLCA3P	4	1
SH3GLB1	5685	4
SEP15	6865	4
HS2ST1	1678	3
LINC01140	0	0
LOC101927844	0	0
LMO4	1108	3
LINC01364	0	0
PKN2-AS1	2	1
PKN2	2847	4
GTF2B	1200	3
CCBL2	1326	3
RBMXL1	615	3
GBP3	4692	4
GBP1	14080	4
GBP2	516	2
GBP7	0	0
GBP4	435	2
GBP5	251	2
LOC729930	0	0
GBP6	0	0
GBP1P1	74	2
LRRC8B	0	0
FLJ27354	4	1
LRRC8C	3336	4
LRRC8D	2162	4
GEMIN8P4	16	1
ZNF326	1295	3
BARHL2	0	0
ZNF644	2161	4
HFM1	0	0
CDC7	863	3
TGFBR3	1389	3
BRDT	0	0
EPHX4	12	1
SETSIP	6	1
BTBD8	29	1
KIAA1107	76	2
C1orf146	0	0
GLMN	397	2
RPAP2	464	2
GFI1	2	1
EVI5	707	3
RPL5	21764	4
FAM69A	875	3
SNORD21	1	1
SNORA66	1	1
MTF2	862	3
TMED5	4591	4
CCDC18	1087	3
LOC100131564	88	2
DR1	4420	4
FNBP1L	214	2
BCAR3	3294	4
LOC100129046	7	1
MIR760	0	0
DNTTIP2	3475	4
GCLM	2979	4
ABCA4	6	1
ARHGAP29	5969	4
ABCD3	1744	3
F3	19743	4
LINC01057	0	0
MIR378G	0	0
SLC44A3	32	1
CNN3	7978	4
LOC729970	38	2
ALG14	329	2
TMEM56	0	0
TMEM56-RWDD3	7	1
LOC101928118	0	0
RWDD3	170	2
FLJ31662	0	0
LOC100996635	0	0
LOC102723661	0	0
LOC101928241	3	1
PTBP2	431	2
DPYD	2003	3
DPYD-AS1	6	1
DPYD-AS2	0	0
MIR137HG	0	0
MIR2682	2	1
MIR137	0	0
LOC729987	4	1
SNX7	2478	4
LPPR5	0	0
LOC100129620	0	0
LPPR4	276	2
LOC101928270	0	0
MIR548N	0	0
PALMD	2	1
FRRS1	204	2
AGL	586	2
SLC35A3	1296	3
HIAT1	2666	4
SASS6	599	2
TRMT13	609	3
LRRC39	13	1
DBT	1076	3
RTCA-AS1	10	1
RTCA	2721	4
MIR553	0	0
CDC14A	258	2
GPR88	0	0
LINC01349	0	0
VCAM1	2	1
EXTL2	1299	3
SLC30A7	1781	3
DPH5	995	3
LOC102606465	145	2
LOC101928370	28	1
S1PR1	839	3
LINC01307	0	0
OLFM3	0	0
DNAJA1P5	0	0
COL11A1	18	1
LOC101928436	0	0
RNPC3	209	2
AMY2B	11	1
ACTG1P4	0	0
AMY2A	0	0
AMY1A	0	0
AMY1C	0	0
AMY1B	0	0
LOC100129138	2	1
LOC101928476	0	0
PRMT6	568	2
NTNG1	2	1
VAV3	0	0
MIR7852	0	0
VAV3-AS1	0	0
SLC25A24	5687	4
NBPF4	0	0
NBPF6	0	0
FAM102B	614	3
HENMT1	22	1
PRPF38B	3219	4
FNDC7	0	0
STXBP3	2014	3
AKNAD1	8	1
SPATA42	1	1
GPSM2	1226	3
CLCC1	1805	3
WDR47	1197	3
TAF13	1656	3
TMEM167B	2199	4
SCARNA2	2	1
C1orf194	2	1
KIAA1324	18	1
SARS	5911	4
CELSR2	22	1
PSRC1	1246	3
MYBPHL	0	0
SORT1	701	3
PSMA5	5022	4
SYPL2	22	1
ATXN7L2	108	2
CYB561D1	540	2
AMIGO1	32	1
GPR61	0	0
GNAI3	7890	4
MIR197	0	0
GNAT2	6	1
AMPD2	2423	4
GSTM4	368	2
GSTM2	181	2
GSTM1	4	1
GSTM5	0	0
GSTM3	734	3
EPS8L3	0	0
CSF1	6394	4
AHCYL1	3593	4
STRIP1	1367	3
ALX3	78	2
LINC01397	0	0
UBL4B	0	0
SLC6A17	0	0
KCNC4-AS1	2	1
KCNC4	269	2
LOC440600	12	1
RBM15	688	3
SLC16A4	480	2
LAMTOR5	2157	4
LAMTOR5-AS1	6	1
PROK1	0	0
CYMP	0	0
LOC440602	0	0
KCNA10	0	0
KCNA2	0	0
KCNA3	0	0
CD53	0	0
LRIF1	900	3
DRAM2	800	3
CEPT1	1099	3
DENND2D	2	1
CHI3L2	0	0
CHIAP2	0	0
CHIA	0	0
PIFO	0	0
PGCP1	0	0
OVGP1	16	1
WDR77	1683	3
ATP5F1	5692	4
C1orf162	5	1
TMIGD3	10	1
ADORA3	0	0
LINC01160	2	1
RAP1A	2291	4
FAM212B	490	2
FAM212B-AS1	5	1
LOC101928718	0	0
DDX20	1535	3
KCND3	0	0
KCND3-IT1	0	0
KCND3-AS1	0	0
